,norm_intensity,norm_intensity_error,norm_intensity_nocomplex,norm_intensity_nocomplex_error,offset(hz),slp(hz),trelax(s)
0,0.5571770623058085,0.0,0.55766983926329,0.0,-1500.0,249.99999999999997,0.15
1,0.5560884386518062,0.0,0.5566693391833668,0.0,-1484.924623115578,249.99999999999997,0.15
2,0.553262366819899,0.0,0.5556408737560855,0.0,-1469.8492462311558,249.99999999999997,0.15
3,0.5517700121146928,0.0,0.5545834240270007,0.0,-1454.7738693467334,249.99999999999997,0.15
4,0.5523528792712451,0.0,0.5534959259918821,0.0,-1439.6984924623116,249.99999999999997,0.15
5,0.552084212917924,0.0,0.5523772683045154,0.0,-1424.6231155778894,249.99999999999997,0.15
6,0.5494012620181954,0.0,0.551226289856886,0.0,-1409.5477386934676,249.99999999999997,0.15
7,0.5468303135860697,0.0,0.5500417772245534,0.0,-1394.4723618090452,249.99999999999997,0.15
8,0.5466956073946088,0.0,0.5488224619695548,0.0,-1379.396984924623,249.99999999999997,0.15
9,0.5471347026953189,0.0,0.5475670177928997,0.0,-1364.321608040201,249.99999999999997,0.15
10,0.54521012845629,0.0,0.5462740575283598,0.0,-1349.2462311557786,249.99999999999997,0.15
11,0.5418626651090878,0.0,0.5449421299688444,0.0,-1334.1708542713568,249.99999999999997,0.15
12,0.540372158430179,0.0,0.5435697165163375,0.0,-1319.0954773869346,249.99999999999997,0.15
13,0.540903019375264,0.0,0.5421552276460833,0.0,-1304.0201005025128,249.99999999999997,0.15
14,0.5401997282664279,0.0,0.5406969991753448,0.0,-1288.9447236180904,249.99999999999997,0.15
15,0.5369154573434161,0.0,0.5391932883268222,0.0,-1273.8693467336684,249.99999999999997,0.15
16,0.533822597931423,0.0,0.5376422695765823,0.0,-1258.7939698492462,249.99999999999997,0.15
17,0.533337629083998,0.0,0.5360420302762305,0.0,-1243.718592964824,249.99999999999997,0.15
18,0.5336313368376302,0.0,0.5343905660389243,0.0,-1228.643216080402,249.99999999999997,0.15
19,0.5315321796484854,0.0,0.5326857758788808,0.0,-1213.56783919598,249.99999999999997,0.15
20,0.5275328171172142,0.0,0.5309254570942202,0.0,-1198.4924623115578,249.99999999999997,0.15
21,0.5250094828600228,0.0,0.5291072998831938,0.0,-1183.4170854271356,249.99999999999997,0.15
22,0.5249750001692857,0.0,0.5272288816844923,0.0,-1168.3417085427136,249.99999999999997,0.15
23,0.5245356753961498,0.0,0.5252876612329778,0.0,-1153.2663316582914,249.99999999999997,0.15
24,0.5213118304430743,0.0,0.523280972323279,0.0,-1138.1909547738694,249.99999999999997,0.15
25,0.5169981268225086,0.0,0.5212060172750985,0.0,-1123.1155778894472,249.99999999999997,0.15
26,0.5147882893684727,0.0,0.5190598600959095,0.0,-1108.0402010050252,249.99999999999997,0.15
27,0.5146678818791013,0.0,0.5168394193391208,0.0,-1092.964824120603,249.99999999999997,0.15
28,0.5134981931491318,0.0,0.5145414606587932,0.0,-1077.8894472361808,249.99999999999997,0.15
29,0.509562992881735,0.0,0.5121625890657451,0.0,-1062.8140703517588,249.99999999999997,0.15
30,0.5049327041778341,0.0,0.5096992408946608,0.0,-1047.7386934673366,249.99999999999997,0.15
31,0.5024669473928194,0.0,0.5071476754975148,0.0,-1032.6633165829146,249.99999999999997,0.15
32,0.5018861407922639,0.0,0.5045039666858055,0.0,-1017.5879396984925,249.99999999999997,0.15
